f1,f2,f3,f4,f5,target
0.4347,0.9390,0.6048,0.8457,0.5223,1
0.1025,0.2356,0.8751,0.0417,0.6634,0
0.4459,0.1354,0.5641,0.3073,0.8398,0
0.5252,0.3864,0.3484,0.4743,0.5597,1
0.8563,0.4579,0.2977,0.4447,0.9521,1
0.2335,0.7931,0.1576,0.6930,0.1495,1
0.1434,0.1026,0.3803,0.9203,0.8251,0
0.7402,0.5353,0.7968,0.6050,0.8506,1
0.4087,0.9666,0.9034,0.6233,0.5722,0
0.2051,0.1398,0.7526,0.7995,0.1998,0
0.4815,0.5884,0.2442,0.0389,0.5235,0
0.5181,0.4271,0.7217,0.3409,0.9613,0
0.1396,0.2748,0.9362,0.9047,0.7877,1
0.7099,0.4322,0.3732,0.0857,0.4162,0
0.0753,0.0816,0.6293,0.6621,0.3531,0
0.7042,0.9024,0.1944,0.4921,0.1191,1
0.1624,0.0689,0.3541,0.7847,0.5192,0
0.3382,0.1306,0.8927,0.3248,0.7041,0
0.8035,0.9832,0.8037,0.6271,0.8536,1
0.2161,0.2576,0.6076,0.0720,0.8911,0
0.3175,0.2212,0.0348,0.5934,0.5355,0
0.6431,0.5115,0.1037,0.7190,0.3484,1
0.1214,0.9137,0.9638,0.4659,0.2453,0
0.5265,0.4479,0.7358,0.5352,0.7575,1
0.1420,0.6614,0.1455,0.5296,0.2305,0
0.3617,0.8608,0.3146,0.3670,0.6970,1
0.1036,0.7253,0.0209,0.5293,0.8905,1
0.2439,0.4847,0.2570,0.3399,0.9277,0
0.0795,0.9357,0.2552,0.0719,0.3181,0
0.7865,0.1470,0.5155,0.3478,0.6447,0
0.0541,0.2743,0.6323,0.4000,0.8546,0
0.2856,0.8413,0.2955,0.9169,0.9564,1
0.6490,0.8495,0.0654,0.7187,0.0361,1
0.4607,0.2947,0.5326,0.1696,0.0159,0
0.4139,0.0607,0.0351,0.7938,0.2674,1
0.4391,0.6261,0.3508,0.6057,0.3448,1
0.1491,0.9276,0.6460,0.6002,0.0392,0
0.8098,0.0458,0.9743,0.1014,0.7091,0
0.5005,0.5481,0.4903,0.5776,0.2507,1
0.6072,0.5503,0.3989,0.7487,0.7960,1
0.8877,0.1119,0.7901,0.3629,0.7217,1
0.5396,0.9684,0.2526,0.2913,0.6144,1
0.0017,0.3977,0.0716,0.6018,0.7984,0
0.1833,0.9604,0.9750,0.0887,0.0339,0
0.3166,0.2353,0.5930,0.8934,0.5390,0
0.8985,0.8473,0.6248,0.7785,0.3225,1
0.4732,0.5585,0.1739,0.3493,0.4904,0
0.5910,0.1929,0.3331,0.4639,0.0047,1
0.5029,0.1782,0.2095,0.1046,0.3723,0
0.5512,0.7024,0.6825,0.7913,0.0927,1
0.8743,0.0985,0.3650,0.3736,0.0180,0
0.2450,0.7018,0.6145,0.8550,0.7137,1
0.6339,0.4654,0.8374,0.2480,0.2474,0
0.0665,0.5539,0.3944,0.0746,0.8114,0
0.8856,0.8998,0.7650,0.5684,0.5830,1
